compound,LogP,num_ring,tc,num_hba,num_hbd,A_E_HOMO (a.u.),A_E_LUMO (a.u.),A_Molweight (Da),A_Total Atoms (n),A_Volume (Angstrom^3),A_Surface area (Bohr^2),A_Positive surface area (Bohr^2),A_Negative surface area (Bohr^2),A_Electric Density (g/cm^3),A_Potential Minimal value (kcal/mol),A_Potential Maximal value (kcal/mol),A_Internal charge separation (a.u.),A_MPI (eV),A_Nonpolar surface area (Angstrom^2),A_Polar surface area (Angstrom^2),A_Overall skewness (),A_Sphericity (),Vertical IP,Vertical EA,Mulliken electronegativity,Chemical potential,Hardness,Softness,Nucleophilicity index,Electrophilicity index,ESP_MAX_O_e,ESP_Pi_O_e,ALIE_AVG_O_e,LEA_MAX_O_e,rho_All_AVG_O_e,EDensity_MIN_O_e,EDensity_MAX_O_e,smiles,Metal,delta_G,Ionic_Radius,Atomic_Number,electronegativity,MW,coord_num,FirstIE,SecondIE,ThirdIE
CID_3797167,1.402,0,66.4,2,2,-0.24004,0.003044,200.25521,32,1903.30548,920.71304,0.0,920.71304,1.179,-145.36943,-28.40645,0.04230793,3.20295435,0.0,257.83,-0.6227659428,0.8067,0.153367,-0.124718,0.014325,-0.014325,0.278085,3.596021,0.250671,0.000369,-105.241096485,6.434901,9.614687,-18.96657821,-0.00319592,0.0039890275,0.0040098405,CCCCC(=O)NC(C(C)C)C(=O)O,deltaG_Mn_4,-0.0657169020003038,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_70397517,2.2706,1,63.60000000000001,3,1,-0.23273,-0.054004,235.2563,32,2062.42026,1039.98786,0.0,1039.98786,1.2782,-157.36557,-12.17986,0.0497479,2.85194009,0.0,291.23,-0.8877058331,0.7534,0.142685,-0.085428,0.028629,-0.028629,0.228112,4.383807,0.273268,0.001796,-113.985557465,6.7032065,9.2122075,-16.42935655,-0.00311569,0.0039887345000000005,0.004010124,CCOC(=O)C1=CC=C(C=C1)CCCC(=O)O,deltaG_Mn_4,-0.08044206999989,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_85815299,7.444900000000008,0,37.3,1,1,-0.230758,0.004364,335.54469,63,3590.59646,1828.77675,0.0,1828.77675,1.0472,-160.66337,-4.84801,0.04838142,1.84113791,38.63,473.48,-1.5352433986,0.6201,0.131591,-0.071643,0.029974,-0.029974,0.203235,4.920424,0.290816,0.00221,-117.03744841,6.4309315,8.840312,-14.817398645,-0.00311884,0.00398588,0.004008508,CCCCCCC=CCCCCC=CCCCCCCCC(=O)O,deltaG_Mn_4,-0.0796564100003252,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_13783016,4.417400000000005,0,37.3,1,1,-0.233421,0.004376,233.30786,41,2382.09241,1198.42793,0.0,1198.42793,1.0975,-154.89776,-21.74036,0.0447415,2.84352811,0.0,335.59,-1.1233879859,0.7197,0.142812,-0.105977,0.018418,-0.018418,0.248789,4.019474,0.254521,0.000682,-115.64007215000001,5.7531955,9.021379499999998,-17.19711002,-0.002932825,0.003986117,0.0040091829999999995,CCCCCCCP(=O)(CCCCC)O,deltaG_Mn_4,-0.0840171680004004,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_26612,2.1825000000000006,0,57.53,2,2,-0.241293,0.005201,187.25645,32,1855.98408,945.09381,0.0,945.09381,1.1306,-150.01109,-21.385,0.04944363,3.06781444,0.0,264.65,-0.576357144,0.7728,0.152736,-0.114574,0.019081,-0.019081,0.26731,3.740972,0.257341,0.000681,-109.07672442500001,6.0919384999999995,9.4841695,-18.662379195,-0.00312917,0.0039884575000000005,0.004011125,CCCCCCCC(CC(=O)O)O,deltaG_Mn_4,-0.0686174380005013,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_55299080,0.8931,0,37.3,1,1,-0.226645,0.005069,99.10807,14,980.07509,545.52043,0.0,545.52043,1.1332,-156.71517,-43.16296,0.04744749,4.15261883,0.0,152.76,-0.2927663612,0.8747,0.130396,-0.154457,-0.01203,0.01203,0.284854,3.510571,0.284178,0.000254,-116.899638885,5.975765,8.9986745,-16.604179334999998,-0.0031735549999999998,0.003988291,0.00400948,C[C@H](C=C)C(=O)O,deltaG_Mn_4,-0.076387523999756,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_70329997,2.629800000000001,1,37.3,1,1,-0.235742,0.003744,187.19625,28,1753.49513,853.83246,0.0,853.83246,1.1963,-150.78016,-36.93141,0.03888947,3.43764178,0.0,239.1,-0.9270363793,0.8236,0.14892,-0.133184,0.007868,-0.007868,0.282104,3.54479,0.245646,0.00011,-116.162396645,5.239958,9.14256,-18.16931656,-0.002917765,0.0039885254999999994,0.0040085035,CCC(C)P(=O)([C@H]1C[C@H]1C=C)O,deltaG_Mn_4,-0.0830757240005368,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_70137196,2.653500000000001,2,55.760000000000005,3,1,-0.251929,-0.012673,227.17403,27,1791.30361,849.50689,0.0,849.50689,1.4211,-142.77992,-20.51491,0.05102607,3.34914804,0.0,237.89,-0.4150692744,0.8396,0.171642,-0.118579,0.026531,-0.026531,0.290221,3.445649,0.228954,0.001213,-115.36515746500001,3.540567,9.8643105,-18.859605725,-0.002605615,0.0039876289999999995,0.004010927,CC1(C(OP(=O)(O1)O)C2=CC=CC=C2)C,deltaG_Mn_4,-0.0662901400003193,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_9921789,5.884500000000005,0,37.3,1,1,-0.230699,-0.021914,279.43822,51,2953.22107,1505.65963,0.0,1505.65963,1.0603,-160.62863,-7.87658,0.05213166,2.10195678,6.79,414.84,-1.3204547394,0.6611,0.131636,-0.07025,0.030693,-0.030693,0.201886,4.953296,0.290802,0.002333,-116.672285525,6.4496265,8.8382335,-14.79568465,-0.0031181000000000004,0.0039860755,0.0040100595,CCCC/C=C\C=C\CCCCCCCCCC(=O)O,deltaG_Mn_4,-0.0800126580004416,0.66,25,1.55,54.94,4,7.43,15.63,33.66
CID_81320756,2.901600000000001,1,49.33,2,2,-0.21623,0.001464,240.36228,43,2356.03911,1060.14869,0.0,1060.14869,1.1432,-156.26711,-38.01607,0.04059568,3.10040375,0.0,296.87,-1.2188655418,0.8077,0.133171,-0.118245,0.007463,-0.007463,0.251416,3.977464,0.270963,0.000111,-121.89691934999999,5.368596999999999,8.852146999999999,-17.534902345,-0.0031043900000000003,0.003985178,0.0040091115,CC1CC(CCC1(C(=O)O)NCC(C)C)(C)C,deltaG_Mn_4,-0.0838119179995828,0.66,25,1.55,54.94,4,7.43,15.63,33.66
