compound,LogP,num_ring,tc,num_hba,num_hbd,A_E_HOMO (a.u.),A_E_LUMO (a.u.),A_Molweight (Da),A_Total Atoms (n),A_Volume (Angstrom^3),A_Surface area (Bohr^2),A_Positive surface area (Bohr^2),A_Negative surface area (Bohr^2),A_Electric Density (g/cm^3),A_Potential Minimal value (kcal/mol),A_Potential Maximal value (kcal/mol),A_Internal charge separation (a.u.),A_MPI (eV),A_Nonpolar surface area (Angstrom^2),A_Polar surface area (Angstrom^2),A_Overall skewness (),A_Sphericity (),Vertical IP,Vertical EA,Mulliken electronegativity,Chemical potential,Hardness,Softness,Nucleophilicity index,Electrophilicity index,ESP_MAX_O_e,ESP_Pi_O_e,ALIE_AVG_O_e,LEA_MAX_O_e,rho_All_AVG_O_e,EDensity_MIN_O_e,EDensity_MAX_O_e,smiles,Metal,delta_G,Ionic_Radius,Atomic_Number,electronegativity,MW,coord_num,FirstIE,SecondIE,ThirdIE
CID_90353026,5.837800000000006,0,55.760000000000005,3,1,-0.249733,0.001207,321.41314,55,3065.77932,1374.4185,0.0,1374.4185,1.1748,-144.38242,-24.11733,0.03687114,2.83002339,0.0,384.88,-1.2102557497,0.7426,0.16452,-0.112321,0.0261,-0.0261,0.276841,3.612185,0.232931,0.00123,-120.47033857,3.726304,9.575361000000001,-19.04282676,-0.002825995,0.003986483,0.004009996,CCCCC(C)(CC)OP(=O)(O)OC(C)(CC)CCCC,deltaG_Ni_4,-0.0702089299998078,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_21312937,1.2874999999999999,2,76.22,4,1,-0.243786,-0.021817,217.20118,25,1770.77826,912.01529,0.0,912.01529,1.3745,-146.83192,-13.55721,0.05009004,3.14987688,0.0,255.39,-0.3894246819,0.7761,,,,,,,,,-106.327774735,5.4833289999999995,9.746528000000001,-19.071329725,-0.003017985,0.003979606,0.004009769,C1=CC=C(C=C1)CC2=NOC(=N2)CC(=O)O,deltaG_Ni_4,-0.0425450440000076,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_171758871,3.1130000000000018,1,37.3,1,1,-0.228173,-0.008389,211.21772,30,1925.25206,932.45495,0.0,932.45495,1.2294,-149.42404,-26.82075,0.03889343,3.3075358,0.0,261.11,-0.8165255312,0.8026,0.145122,-0.125148,0.009987,-0.009987,0.27027,3.700005,0.246793,0.000185,-113.18928787499999,5.505583,9.160905,-17.420315605,-0.002888865,0.0039853465000000005,0.004007984,CC(C)CP(=O)(CC1=CC=CC=C1)O,deltaG_Ni_4,-0.0661013359999742,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_141198192,2.0540599999999998,1,54.370000000000005,2,1,-0.229321,-0.026223,225.20124,29,1917.00542,918.04926,0.0,918.04926,1.3164,-141.54064,-28.33549,0.04389198,3.34232008,0.0,257.08,-0.3148454077,0.8129,0.1474,-0.118534,0.014433,-0.014433,0.265934,3.760325,0.248791,0.000392,-101.670522625,4.8868860000000005,9.530892,-18.858166824999998,-0.00275407,0.003985445,0.0040093179999999996,CC1=C(C(=C(C=C1)P(=O)(C(=O)C)O)C)C,deltaG_Ni_4,-0.0407402599996657,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_145847213,3.421100000000001,2,63.32000000000001,2,2,-0.225111,0.001852,266.39963,47,2578.20214,1188.36703,0.0,1188.36703,1.1579,-157.79948,-15.98011,0.04891465,2.61332034,0.0,332.78,-1.1231461013,0.7651,0.133116,-0.096408,0.018354,-0.018354,0.229524,4.356851,0.281101,0.000734,-115.03720534499999,6.52439,8.8457305,-15.945676344999999,-0.0031863150000000003,0.003986326,0.004010911,CCCC1CCC(CC1)C2CCC(CC2N)C(=O)O,deltaG_Ni_4,-0.0608679640004083,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_161853074,3.3682000000000016,2,55.760000000000005,3,1,-0.248065,-0.010752,269.25388,36,2220.60707,1004.75207,0.0,1004.75207,1.3587,-148.84376,-24.78465,0.04519216,3.15249676,0.0,281.36,-0.8297546208,0.8192,0.160618,-0.118612,0.021003,-0.021003,0.27923,3.581274,0.236416,0.00079,-111.54530751499999,5.729248999999999,9.4402245,-18.473113565,-0.002643185,0.003987986000000001,0.004008642,CC1(CCP(=O)(O[C@H]1C2=CC=CC=C2OC)O)C,deltaG_Ni_4,-0.0629770600003212,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88569184,3.566400000000003,1,46.53,2,1,-0.232517,-0.005738,241.24374,34,2124.62216,976.49587,0.0,976.49587,1.2724,-143.6521,-28.6054,0.03966186,3.22361005,0.0,273.45,-0.8586130974,0.8185,0.164296,-0.122433,0.020931,-0.020931,0.286729,3.487618,0.227473,0.000764,-107.96468037,5.1700205,9.5490745,-19.14573107,-0.0027155499999999997,0.003982330500000001,0.0040099145,CCC1=C(C(=CC=C1)C(C)C)OP(=O)(C)O,deltaG_Ni_4,-0.0497794499997326,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_43211328,2.2734000000000005,1,46.53,2,1,-0.231318,-0.009848,193.21954,27,1724.50677,841.12752,0.0,841.12752,1.2555,-154.55496,-22.04706,0.04400774,3.35605114,0.0,235.54,-0.6657052032,0.8268,0.140278,-0.120055,0.010111,-0.010111,0.260333,3.841236,0.274233,0.000196,-111.11001795,6.5936395,8.8762775,-16.47219459,-0.0031662,0.0039871130000000005,0.0040090839999999996,CC(CC(=O)O)C1=CC=CC=C1OC,deltaG_Ni_4,-0.0706324580003183,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_146839995,2.1787000000000005,1,37.3,1,1,-0.231328,0.00406,175.18551,27,1611.61975,762.37846,0.0,762.37846,1.2181,-154.26469,-37.04523,0.04862032,3.47725775,0.0,213.49,-0.7462485784,0.8719,0.142537,-0.128846,0.006846,-0.006846,0.271383,3.684833,0.256274,8.6e-05,-114.07827388,5.8264485,9.0287925,-18.33218976,-0.002764485,0.003989488,0.004009261,CC1CP(=O)(CC1C(C)C)O,deltaG_Ni_4,-0.0636982920000264,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_112655,4.254700000000003,1,55.760000000000005,3,1,-0.237092,-0.008201,285.29638,41,2521.28919,1220.3068,0.0,1220.3068,1.268,-136.95639,-22.55263,0.04316656,2.91105331,0.0,341.72,-0.7674405963,0.7341,0.169981,-0.109113,0.030434,-0.030434,0.279094,3.58302,0.221792,0.001659,-110.48826898499999,3.505586,9.978982,-19.908927565,-0.0026455100000000002,0.0039846685,0.004008616,CC(C)CCC(C)COP(=O)(O)OC1=CC=CC=C1,deltaG_Ni_4,-0.0417087599998922,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_535358,4.359400000000005,1,66.76,3,2,-0.225158,-0.004785,299.323,44,2701.03553,1338.3257,5.64433,1332.68137,1.2418,-155.41641,8.03492,0.04663489,2.83029227,3.7,371.07,-0.994642809,0.7008,0.152597,-0.100007,0.026295,-0.026295,0.252605,3.958757,0.242113,0.001369,-111.78766402,7.116642499999999,9.252983,-18.0880784,-0.00269637,0.003982197999999999,0.0040093035,CCCCCCCCP(=O)(COC1=CC=CC=C1O)O,deltaG_Ni_4,-0.0682846700001391,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_67677662,2.466900000000001,1,37.3,1,1,-0.234692,0.003408,175.18551,27,1631.61,804.06314,0.0,804.06314,1.2032,-153.64932,-35.56888,0.04570304,3.4927543,0.0,225.16,-0.7556225928,0.8336,0.14392,-0.128658,0.007631,-0.007631,0.272578,3.668668,0.255322,0.000107,-112.747098765,5.7985705,9.044728,-17.349861699999998,-0.002830745,0.0039802365,0.004008886,CP(=O)(CC1CCCCC1)O,deltaG_Ni_4,-0.0745756940002593,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_113309338,2.3189,1,69.64,2,2,-0.230744,0.00152,269.36044,44,2480.54686,1136.95558,0.0,1136.95558,1.2168,-145.72118,-25.78729,0.03852091,2.94858852,0.0,318.38,-0.7622629024,0.7794,0.152415,-0.115212,0.018602,-0.018602,0.267627,3.736541,0.246148,0.000646,-104.51936359000001,6.629008499999999,9.4402005,-18.89721972,-0.003040715,0.003985298,0.004010252000000001,CC(C)CCN(C)C(=O)NCC1(CCCC1)C(=O)O,deltaG_Ni_4,-0.0750138279995553,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_19104025,1.1575999999999997,1,75.35000000000001,1,3,-0.210457,-0.004381,171.11392,19,1380.6845,708.24167,0.0,708.24167,1.3888,-140.5815,-32.02313,0.04255571,3.68310586,0.0,198.33,-0.1984130437,0.8466,0.136267,-0.13591,0.000178,-0.000178,0.272176,3.674087,0.256799,0.0,-103.03666362,6.0010075,9.561083499999999,-19.114590565,-0.0028474349999999997,0.0039855535,0.004010613,C1=CC=C(C=C1)NP(=O)(N)O,deltaG_Ni_4,-0.0461787199997161,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_4581284,3.9412000000000034,1,37.3,1,1,-0.237773,-0.016225,253.29757,39,2396.83531,1160.999,0.0,1160.999,1.1842,-150.99182,-21.78606,0.0430515,2.93430324,0.0,325.11,-0.936400389,0.746,0.1496,-0.109732,0.019934,-0.019934,0.259332,3.856059,0.243156,0.000766,-116.25803096499999,5.326632,9.1963175,-17.711286475,-0.002892395,0.0039827105,0.0040080459999999995,CCCCCCC(C)P(=O)(C1=CC=CC=C1)O,deltaG_Ni_4,-0.0608286100004988,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_159301297,2.402200000000001,0,71.44,3,1,-0.224388,-0.037079,233.22167,33,2072.81441,1003.92937,0.0,1003.92937,1.2608,-143.92488,-30.07327,0.04154815,3.17615301,0.0,281.13,-0.7243200734,0.7831,0.147085,-0.122027,0.012529,-0.012529,0.269113,3.715916,0.247649,0.000292,-96.2131484,6.043131,9.7518725,-18.925485584999997,-0.00272851,0.003981673999999999,0.0040096325000000006,CC(C)CC(=O)P(=O)(C(=O)CC(C)C)O,deltaG_Ni_4,-0.0341188300003523,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_9922235,6.354500000000007,0,37.3,1,1,-0.22839,0.001619,295.48072,56,3156.48923,1581.83861,0.0,1581.83861,1.049,-160.19393,-12.01525,0.04840914,2.16352429,0.0,442.96,-1.3845119699,0.6578,0.131968,-0.08865,0.021659,-0.021659,0.220618,4.532718,0.278255,0.001063,-118.43517356000001,6.4906315,9.1725905,-16.314233605,-0.00310192,0.003990158000000001,0.004010188,CCCCCCCC/C=C\CCCCCCC(C)C(=O)O,deltaG_Ni_4,-0.0620538879998093,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_129720392,3.2570000000000006,2,54.370000000000005,2,1,-0.240216,-0.053045,253.27322,32,2158.82389,1045.02578,0.0,1045.02578,1.3147,-148.21178,-9.88206,0.0481287,2.9725917,0.06,292.58,-0.498771736,0.773,0.152094,-0.092487,0.029803,-0.029803,0.244581,4.088622,0.256468,0.001816,-109.33877530000001,5.2856075,9.249901999999999,-17.287647215,-0.00302267,0.003981089,0.0040092525,CC(C(=O)C1=CC=CC(=C1)C2=CC=CC=C2)C(=O)O,deltaG_Ni_4,-0.0493039680002311,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_10221269,3.022800000000001,2,72.83000000000001,4,1,-0.248408,-0.052518,277.18976,29,2109.54384,1033.16697,0.0,1033.16697,1.4724,-143.37467,-13.52115,0.04528111,3.1927919,0.0,289.32,-0.3057182105,0.7699,0.182184,-0.108738,0.036723,-0.036723,0.290922,3.437352,0.209472,0.002318,-106.88685589,4.0110785,10.2805955,-20.103682185,-0.002568425,0.003977873,0.0040109275,C1=CC=C(C=C1)C(=O)OP(=O)(O)OC2=CC=CC=C2,deltaG_Ni_4,-0.0144326000004184,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_53825426,6.1085000000000065,0,37.3,1,1,-0.235941,-0.000844,281.4541,53,2990.83972,1501.60485,0.0,1501.60485,1.0545,-161.04679,-8.73755,0.05158056,2.23425112,1.22,419.28,-1.2102127068,0.6685,0.137829,-0.083563,0.027133,-0.027133,0.221392,4.516875,0.283276,0.001663,-119.635667765,6.241752,8.873460999999999,-16.032465335,-0.00307241,0.003987227,0.004009298499999999,CCCCCCCCCCCCCC=C(CC)C(=O)O,deltaG_Ni_4,-0.0647470900005373,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_24887401,2.639000000000002,2,77.76,3,3,-0.233407,-0.016645,277.23285,33,2224.89446,1017.68953,0.0,1017.68953,1.3963,-138.91353,-10.29895,0.04260907,3.21599851,0.0,284.98,-0.4341000533,0.8099,0.156379,-0.115566,0.020406,-0.020406,0.271945,3.677212,0.229917,0.000766,-108.05171741999999,4.3693415,9.658404999999998,-18.896675515,-0.002626005,0.0039811875,0.004008581000000001,C1=CC=C(C=C1)[C@H](O)P(=O)([C@H](C2=CC=CC=C2)O)O,deltaG_Ni_4,-0.0340327799995066,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_302433,1.7644000000000002,0,75.63000000000001,3,2,-0.241605,0.001538,216.25462,33,1969.91941,988.50963,0.0,988.50963,1.2302,-147.44502,-22.68835,0.04134718,3.15511924,0.0,276.81,-0.6146770129,0.7688,0.155849,-0.116362,0.019744,-0.019744,0.272211,3.673624,0.260323,0.000716,-105.09901485500001,6.547014,9.268705,-17.66303194,-0.0031045450000000002,0.003985511,0.0040083995,CCCC(C(=O)O)NC(=O)OC(C)(C)C,deltaG_Ni_4,-0.0467131959999278,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88504454,2.8792000000000013,1,46.53,2,1,-0.244196,-0.035285,211.17462,26,1781.92253,877.78681,0.0,877.78681,1.328,-145.10557,-25.17624,0.04267901,3.46976636,0.0,245.81,-0.4647349955,0.8098,0.162119,-0.125647,0.018236,-0.018236,0.287766,3.475046,0.236792,0.000578,-117.470687005,3.8499280000000002,9.5744775,-18.778168965,-0.00274312,0.00398222,0.004008937000000001,CCOP(=O)(C(=C)C1=CC=CC=C1)O,deltaG_Ni_4,-0.0483874879998893,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_170101861,3.093400000000001,2,58.56,2,2,-0.241864,-0.01279,276.24809,34,2289.40758,1109.70583,0.0,1109.70583,1.3521,-141.59799,-20.15735,0.04213003,2.99621582,0.0,310.75,-0.7872777851,0.757,0.168151,-0.109149,0.029501,-0.029501,0.2773,3.606201,0.225239,0.001569,-109.40089562,4.42051,9.686798,-18.38599765,-0.00269324,0.003983438,0.0040090355,C1=CC=C(C=C1)CNP(=O)(O)OCC2=CC=CC=C2,deltaG_Ni_4,-0.0469577699996079,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_129765415,3.7391000000000028,4,37.3,1,1,-0.227556,-0.001951,255.31345,41,2296.26724,1037.16827,0.0,1037.16827,1.2459,-152.9148,-31.80778,0.0409682,3.11532584,0.0,290.44,-1.0569214475,0.8116,0.142662,-0.11521,0.013726,-0.013726,0.257872,3.877897,0.251747,0.000365,-112.60157668,5.7895,9.0304805,-17.623115775000002,-0.002842015,0.003988442,0.004008477,CCCP(=O)(CC1C2CC3CC(C2)CC1C3)O,deltaG_Ni_4,-0.0724494699998103,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_88775378,5.154600000000004,2,46.53,4,1,-0.232408,-0.047299,339.38964,37,2680.42739,1165.6179,0.0,1165.6179,1.4189,-135.41356,-14.42149,0.0422923,2.90049924,0.0,326.41,-0.6458750126,0.8006,0.161958,-0.100145,0.030906,-0.030906,0.262103,3.81529,0.228191,0.001822,-104.18205929,4.045187,9.8668125,-19.415622225,-0.0022158200000000003,0.0039831205,0.0040088045,CCOP(=O)(O)SSC1=CC=CC=C1CC2=CC=CC=C2,deltaG_Ni_4,-0.030667970000195,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_10400639,0.9021999999999999,2,66.4,3,3,-0.244627,-0.018294,264.32044,32,2164.91024,1032.33633,0.0,1032.33633,1.3682,-141.07867,-16.52253,0.04085676,2.93285057,0.0,289.08,-0.601900921,0.784,0.163044,-0.103417,0.029814,-0.029814,0.266461,3.752895,0.250395,0.001668,-94.7395978,7.2451360000000005,9.359116,-18.150125019999997,-0.003082385,0.003983838,0.004009041,C1C2=CC=CC=C2CC1(CS)C(=O)NCC(=O)O,deltaG_Ni_4,-0.0532898700000714,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_61185646,1.9750999999999996,1,78.43,2,3,-0.2276,-0.0004,255.33383,41,2375.51128,1153.94515,19.91057,1134.03458,1.2045,-158.96011,11.91313,0.05552195,2.66621181,11.04,312.1,-0.7214577153,0.7461,0.142095,-0.09478,0.023657,-0.023657,0.236875,4.221634,0.275329,0.001181,-117.954385565,6.3754005,9.179544,-17.34400901,-0.00316774,0.0039854215,0.00401057,CC(C)CCNC(=O)NC1CCC(CC1)C(=O)O,deltaG_Ni_4,-0.049497627999699,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_14477114,1.2963999999999998,2,63.60000000000001,3,1,-0.2284,0.000241,211.23483,30,1809.75606,873.79643,0.0,873.79643,1.3079,-157.66405,-16.77637,0.04946025,3.26548767,0.0,244.69,-0.6474483311,0.8219,0.137203,-0.116454,0.010374,-0.010374,0.253657,3.942336,0.276129,0.000212,-111.00765286000001,6.60065,8.8832365,-15.978131820000002,-0.0031940500000000004,0.0039898845,0.0040082625,COC(=O)CC1C2CCC(C2)C1C(=O)O,deltaG_Ni_4,-0.0596309359996212,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_139947053,2.5646000000000004,0,46.53,2,1,-0.247544,0.003598,191.18492,28,1760.36913,880.37367,0.0,880.37367,1.217,-147.1367,-32.6539,0.04433533,3.34589975,0.0,246.53,-0.7310408755,0.8009,0.163183,-0.126478,0.018353,-0.018353,0.289661,3.452306,0.240318,0.000581,-115.908500785,4.4985365,9.3971885,-18.483973875,-0.00277493,0.003982124,0.004008639499999999,CCCCP(=O)(O)OCC=CC,deltaG_Ni_4,-0.0549883700002737,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_129854027,7.835000000000007,0,37.3,1,1,-0.230717,0.003467,349.57131,66,3746.5167,1904.38149,0.0,1904.38149,1.0456,-160.58737,-2.88374,0.04905442,1.75672321,70.04,463.24,-1.5483031182,0.6126,,,,,,,,,10.133855500000001,,0.002001905,-0.001044845095,,,,CCCCC=CCCCCCCCCCC=CCCCCCC(=O)O,deltaG_Ni_4,-0.0604484900002262,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_6950945,-0.1584000000000001,0,66.4,2,2,-0.239324,0.006113,144.14874,20,1283.07392,660.07304,0.0,660.07304,1.2589,-144.25437,-43.01416,0.03708259,3.72487245,0.0,184.84,-0.4112949219,0.8651,0.155285,-0.146193,0.004546,-0.004546,0.301478,3.316996,0.259707,3.4e-05,-101.42452342,6.749381,9.3034585,-17.8049222,-0.00310787,0.003989713000000001,0.0040087295000000005,CC(C)[C@@H](C(=O)O)NC=O,deltaG_Ni_4,-0.0475937619999058,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_145728048,1.5139999999999998,1,86.99000000000001,4,3,-0.230302,-0.009606,259.21593,33,2119.29665,1040.8074,0.0,1040.8074,1.3706,-129.81337,-22.34543,0.04079826,3.12260527,0.0,291.46,-0.2267626447,0.7666,0.168951,-0.110523,0.029214,-0.029214,0.279474,3.578157,0.221011,0.001527,-99.627940675,4.560907,10.135071,-19.836325005,-0.00271797,0.0039873855,0.004009021,CCC1=CC=C(C=C1)OP(=O)(CC(C)(O)O)O,deltaG_Ni_4,-0.0491247099998872,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_87175435,3.933300000000003,2,59.67,3,1,-0.198623,-0.044405,267.238,34,2199.67616,1005.40619,0.0,1005.40619,1.3614,-141.9452,-21.01213,0.0379696,3.17736175,0.0,281.54,-0.7495789518,0.8135,,,,,,,,,-111.705911925,4.815053000000001,9.497194499999999,-18.21656326,-0.00269582,0.0039828220000000004,0.0040079845,CCC(C)OP(=O)(CC1=C2C=CC=CC2=CO1)O,deltaG_Ni_4,-0.0513504500004273,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_54486930,0.5804,0,63.60000000000001,3,1,-0.242227,-0.01248,157.14424,20,1356.41015,720.20288,0.0,720.20288,1.2982,-155.87364,-26.37688,0.05002634,3.55736746,0.0,201.68,-0.3506234072,0.8228,0.148845,-0.127785,0.01053,-0.01053,0.27663,3.614935,0.274134,0.0002,-108.992552825,6.756266500000001,9.0755275,-15.70548179,-0.00303172,0.0039868130000000005,0.004008985,CC=C(COC(=O)C)C(=O)O,deltaG_Ni_4,-0.0581989260003865,0.55,28,1.91,58.69,4,7.63,18.16,35.19
CID_13318994,1.0589,1,40.540000000000006,1,1,-0.218638,-0.016466,184.15251,23,1576.69176,783.08173,0.0,783.08173,1.3088,-148.21289,-27.9871,0.04209826,3.60611035,0.0,219.29,-0.5041194203,0.8366,0.138957,-0.131845,0.003556,-0.003556,0.270802,3.692741,0.256318,2.3e-05,-117.079237495,4.8971385,9.3672795,-18.402399950000003,-0.00276186,0.0039877145,0.0040078905,CN(C)P(=O)(C1=CC=CC=C1)O,deltaG_Co_4,-0.0781335900003341,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_88242618,2.1193,1,66.76,3,2,-0.248424,-0.001239,177.1152,21,1403.08645,708.4465,0.0,708.4465,1.4145,-137.93541,-31.18827,0.04893553,3.64127013,0.0,198.39,-0.1023130198,0.8555,0.172703,-0.127496,0.022603,-0.022603,0.3002,3.331117,0.228855,0.000851,-106.57599529000001,4.7757735,9.874891000000002,-19.562918435,-0.00267013,0.003988025,0.004008162,C1CCC(=CC1)P(=O)(O)OO,deltaG_Co_4,-0.0474486039997827,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_169983104,1.9141,0,74.22,5,1,-0.265334,0.004236,297.30548,45,2686.53544,1374.65987,0.0,1374.65987,1.2401,-145.70306,-8.29427,0.05131282,2.45156256,2.65,382.3,-0.7960612119,0.6799,0.171674,-0.087635,0.042019,-0.042019,0.25931,3.856391,0.236313,0.003404,-113.07421508,4.960685,9.4731745,-18.229103424999998,-0.00265918,0.003987384,0.0040090615,CC(C)CCOCCOCCOCCOP(=O)(C)O,deltaG_Co_4,-0.0632820300002094,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_13433026,2.4554,2,59.42,3,1,-0.232131,-0.034322,228.22389,27,1869.73587,921.35254,0.0,921.35254,1.3678,-148.29154,-17.98814,0.04575276,3.32306856,0.0,258.0,-0.2561058553,0.7966,0.147794,-0.112561,0.017617,-0.017617,0.260355,3.840905,0.257183,0.000596,-107.51851929,5.681046,9.2594515,-17.7876694,-0.00294752,0.0039850215,0.004009601,COC1=CC=CC=C1C2=C(C=CN=C2)C(=O)O,deltaG_Co_4,-0.064357075999851,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_20196937,2.3985000000000003,0,46.53,2,1,-0.256662,0.004395,179.17418,27,1669.12777,866.62596,0.0,866.62596,1.2029,-148.97333,-24.49609,0.04938686,3.31286588,0.0,242.68,-0.5573867651,0.7852,0.158209,-0.12352,0.017344,-0.017344,0.281729,3.549515,0.248236,0.000534,-118.91025082499999,4.4360535,9.373507499999999,-18.38824838,-0.00274704,0.0039796855,0.0040089905,CCCCCCP(=O)(O)OC,deltaG_Co_4,-0.0785327019998476,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_73603922,1.8475000000000006,1,77.76,3,3,-0.22172,-0.006896,229.18991,29,1873.0446,882.47197,0.0,882.47197,1.3712,-138.90564,-16.41568,0.03723717,3.39371916,0.0,247.12,-0.4263464803,0.8327,0.150683,-0.129038,0.010822,-0.010822,0.279721,3.574989,0.238288,0.000209,-110.024602245,3.7744644999999997,9.6669605,-19.564442550000003,-0.0028615000000000003,0.0039822174999999994,0.0040083105,CCP(=O)(C(C)(C1=CC=CC=C1O)O)O,deltaG_Co_4,-0.0584751399997003,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_87884322,1.7931999999999997,1,75.99000000000001,4,2,-0.258162,-0.012147,203.10946,21,1518.16986,773.75414,0.0,773.75414,1.4992,-134.28134,-21.35122,0.0482937,3.51003508,0.0,216.67,-0.0528932415,0.8256,0.186368,-0.121832,0.032268,-0.032268,0.3082,3.244643,0.215398,0.001689,-110.095534415,3.3478079999999997,10.121413,-19.788879275,-0.00260293,0.003980399,0.0040088645,C1=CC=C(C=C1)COP(=O)(O)OO,deltaG_Co_4,-0.0458678840000175,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_54093270,1.2426,0,72.83000000000001,4,1,-0.274218,-0.047912,193.11461,22,1522.91266,772.90579,0.0,772.90579,1.421,-133.88927,-31.73082,0.041554,3.62477842,0.0,216.44,-0.1520796107,0.8282,,,,,,,,,-106.98115855500001,3.2472399999999997,10.066283,-19.44352827,-0.00261429,0.0039872745000000005,0.0040094495,CCOP(=O)(O)OC(=O)C(=C)C,deltaG_Co_4,-0.0626524120002613,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_87269292,2.2030199999999995,1,72.55,3,2,-0.213315,-0.011415,242.23177,33,2085.98737,1004.05651,0.0,1004.05651,1.3013,-144.96117,-22.22352,0.04359009,3.23628947,0.0,281.16,-0.665295968,0.7863,0.14881,-0.118921,0.014945,-0.014945,0.267731,3.735095,0.243139,0.000417,-113.355042725,4.8082210000000005,9.59637,-19.116355634999998,-0.00255969,0.0039864165,0.00400921,CCC(C)OP(=O)(C1=C(C=C(C=C1)C)N)O,deltaG_Co_4,-0.0665970800005197,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_63192008,1.4562000000000002,1,71.44,3,1,-0.233719,0.004118,233.30476,32,1939.65998,903.21889,0.0,903.21889,1.3479,-133.80223,-39.66769,0.03358017,3.27324254,0.0,252.93,-0.4976877249,0.8327,0.16264,-0.127154,0.017743,-0.017743,0.289794,3.450729,0.246382,0.000543,-103.379557365,4.132193,9.2787165,-18.691361960000002,-0.0033868450000000003,0.003987844,0.0040081475,CS(=O)(=O)CCCC1(CCCC1)C(=O)O,deltaG_Co_4,-0.0918543999996472,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_138549,1.6733,0,37.3,1,1,-0.236871,0.00495,127.16131,20,1292.59807,703.44283,0.0,703.44283,1.1024,-158.59724,-29.84397,0.0555412,3.54664855,0.0,196.98,-0.4463863193,0.8158,0.13689,-0.128426,0.004232,-0.004232,0.265315,3.7691,0.275683,3.4e-05,-116.720360785,6.3726915,9.2722685,-17.078024595000002,-0.003124625,0.003982835,0.0040095165,CC(C)C=CCC(=O)O,deltaG_Co_4,-0.0878044719997888,0.58,27,1.88,58.93,4,7.88,17.08,33.5
CID_73837185,5.343300000000005,0,46.53,2,1,-0.222539,0.004009,297.45351,54,3064.14841,1526.32663,0.0,1526.32663,1.0878,-155.23246,-8.9249,0.05028624,2.28933118,0.89,426.53,-1.0303745085,0.6684,0.132368,-0.086175,0.023097,-0.023097,0.218543,4.575762,0.279771,0.00122,-116.10480139,5.819654,8.9386775,-17.097656085,-0.0031319349999999998,0.003986284,0.0040082625,CCCCCCCCCCC=CCCCC(C(=O)O)OC,deltaG_Co_4,-0.0804520300005151,0.58,27,1.88,58.93,4,7.88,17.08,33.5
